bairro,desc,tipo,imagem,area total,area util,valor
Iririu,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1485501930/26579801930.jpg,625 M² TOTAL,625 M² ÚTIL,20000.0
Gloria,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1377001930/22765201930.jpg,"544,5 M² TOTAL","544,5 M² ÚTIL",14900.0
Gloria,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1377101930/22769201930.jpg,"544,5 M² TOTAL","544,5 M² ÚTIL",14900.0
Costa e Silva,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1428301930/24575901930.jpg,700 M² TOTAL,700 M² ÚTIL,14000.0
America,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1390201930/25794601930.jpg,320 M² TOTAL,320 M² ÚTIL,13000.0
Centro,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/752501930/8324401930.jpg,660 M² TOTAL,660 M² ÚTIL,12900.0
America,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1374101930/23096101930.jpg,380 M² TOTAL,380 M² ÚTIL,12000.0
Bucarein,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1451401930/25366201930.jpg,"244,15 M² TOTAL","244,15 M² ÚTIL",12000.0
Pirabeiraba,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1130001930/15388301930.jpg,11900 M² TOTAL,11900 M² ÚTIL,11900.0
Centro,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/155801930/22770501930.jpg,520 M² TOTAL,520 M² ÚTIL,10900.0
Iririu,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1485301930/26573001930.jpg,625 M² TOTAL,625 M² ÚTIL,10000.0
Iririu,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1485401930/26579201930.jpg,625 M² TOTAL,625 M² ÚTIL,10000.0
Pirabeiraba,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1387601930/23241601930.jpg,298 M² TOTAL,298 M² ÚTIL,10000.0
Centro,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/752401930/8324301930.jpg,660 M² TOTAL,660 M² ÚTIL,10000.0
Atiradores,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1071801930/14247701930.jpg,3087 M² TOTAL,3087 M² ÚTIL,10000.0
Pirabeiraba,Galpão,Galpão,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1269001930/18862001930.jpg,"746,92 M² TOTAL","746,92 M² ÚTIL",10000.0
Bucarein,Galpão,Galpão,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1352401930/21734801930.jpg,"612,3 M² TOTAL","612,3 M² ÚTIL",10000.0
Bucarein,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1353201930/21736001930.jpg,"612,3 M² TOTAL","612,3 M² ÚTIL",10000.0
Bucarein,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1353301930/21737201930.jpg,"612,3 M² TOTAL","612,3 M² ÚTIL",10000.0
Bucarein,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/100601930/26966001930.jpg,320 M² TOTAL,320 M² ÚTIL,9800.0
America,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1465401930/26776801930.jpg,200 M² TOTAL,200 M² ÚTIL,9500.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1211801930/17305801930.jpg,"385,56 M² TOTAL","236,58 M² ÚTIL",8600.0
America,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1465501930/26777201930.jpg,191 M² TOTAL,191 M² ÚTIL,8500.0
Anita Garibaldi,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1479101930/26320801930.jpg,"311,36 M² TOTAL","311,36 M² ÚTIL",8500.0
Saguacu,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/947601930/11818901930.jpg,"505,22 M² TOTAL","505,22 M² ÚTIL",8500.0
Centro,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1409701930/24134501930.jpg,"239,38 M² TOTAL","239,38 M² ÚTIL",8400.0
Centro,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1409501930/24133501930.jpg,"233,72 M² TOTAL","233,72 M² ÚTIL",8200.0
Centro,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1409601930/24134001930.jpg,"233,72 M² TOTAL","233,72 M² ÚTIL",8200.0
Anita Garibaldi,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1408001930/23855701930.jpg,"231,86 M² TOTAL","231,86 M² ÚTIL",8000.0
America,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1451201930/25464001930.jpg,"363,24 M² TOTAL","363,24 M² ÚTIL",8000.0
America,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1465601930/26777601930.jpg,191 M² TOTAL,191 M² ÚTIL,7900.0
Centro,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1409201930/24133001930.jpg,"204,73 M² TOTAL","204,73 M² ÚTIL",7900.0
Centro,Sala,Sala,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/891501930/23088701930.jpg,"621,57 M² TOTAL","401,5 M² ÚTIL",7900.0
Anita Garibaldi,Terreno,Terreno,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/937201930/10657001930.jpg,1608 M² TOTAL,1608 M² ÚTIL,7800.0
Gloria,Casa residencial,Casa residencial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1181701930/16577001930.jpg,"259,28 M² TOTAL","258,28 M² ÚTIL",7500.0
Itinga,Galpão,Galpão,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/355201930/25995201930.jpg,590 M² TOTAL,590 M² ÚTIL,7400.0
Anita Garibaldi,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1487101930/26608801930.jpg,"180,75 M² TOTAL","180,75 M² ÚTIL",7250.0
Costa e Silva,Loja,Loja,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1382901930/26198701930.jpg,320 M² TOTAL,320 M² ÚTIL,7200.0
Anita Garibaldi,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1135701930/26763901930.jpg,280 M² TOTAL,280 M² ÚTIL,6900.0
Centro,Casa comercial,Casa comercial,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1093201930/17957401930.jpg,"204,72 M² TOTAL","204,72 M² ÚTIL",6900.0
Zona Industrial Norte,Galpão,Galpão,https://www.anagelocacao.com.br/indicadordeimoveis/imobiliarias/1930/fotos/medio480x360/1480101930/26408801930.jpg,"458,67 M² TOTAL","458,67 M² ÚTIL",6800.0
